                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2208,                 4.1776,                 1.7355,                0.46675,                0.49084,                0.49173,                0.31907,                 1.2627,                 2.1828,                 1.7359,             8.5169e-05,             8.5169e-05,             8.5169e-05
                      1,                 1.2143,                 4.1856,                  1.737,                 0.4994,                0.51095,                0.48128,                 0.3133,                 1.2679,                 2.2318,                 1.7411,             8.5169e-05,             8.5169e-05,             8.5169e-05
                      2,                 1.1233,                 2.4657,                 1.6082,                0.67187,                0.67563,                0.69875,                0.47358,                 1.1399,                  1.506,                 1.5927,             8.6104e-05,             8.6104e-05,             8.6104e-05
                      1,                 1.2145,                 4.1705,                 1.7332,                0.45916,                0.54507,                0.51064,                0.33282,                 1.2663,                 2.1318,                 1.7371,             8.5169e-05,             8.5169e-05,             8.5169e-05
                      2,                 1.1802,                 2.4386,                 1.6606,                0.67442,                0.64244,                0.67196,                0.44708,                 1.2171,                 1.5978,                 1.6581,             0.00016713,             0.00016713,             0.00016713
                      3,                 1.1577,                 1.9035,                 1.6263,                0.67842,                0.68001,                0.70395,                0.45265,                 1.2556,                 1.4363,                 1.6762,              0.0002457,              0.0002457,              0.0002457
                      4,                 1.1232,                 1.5787,                 1.5861,                0.70756,                0.69397,                 0.7409,                0.49702,                 1.1604,                 1.3324,                 1.5953,             0.00024079,             0.00024079,             0.00024079
                      5,                 1.0935,                  1.368,                 1.5497,                0.72479,                 0.7669,                0.79601,                0.54723,                   1.14,                 1.1144,                  1.558,             0.00023572,             0.00023572,             0.00023572
                      6,                 1.0659,                 1.2097,                 1.5224,                0.76642,                0.77766,                0.81236,                0.57229,                 1.1107,                 1.0514,                  1.533,             0.00023066,             0.00023066,             0.00023066
                      7,                 1.0308,                 1.1099,                 1.4829,                0.78705,                0.81106,                0.84035,                  0.592,                 1.0851,                 0.9461,                  1.513,             0.00022559,             0.00022559,             0.00022559
                      8,                 1.0098,                 1.0267,                 1.4653,                0.81421,                0.81511,                0.83762,                0.59822,                  1.067,                0.92557,                 1.4898,             0.00022052,             0.00022052,             0.00022052
                      9,                0.98733,                0.95778,                 1.4371,                0.80581,                0.85203,                0.86529,                0.61799,                 1.0667,                0.85659,                 1.4749,             0.00021545,             0.00021545,             0.00021545
                     10,                0.97025,                0.90301,                 1.4266,                0.77544,                0.86212,                0.86561,                0.61984,                 1.0643,                0.82812,                  1.476,             0.00021038,             0.00021038,             0.00021038
                     11,                0.95974,                0.86088,                 1.4103,                0.79326,                0.86303,                0.85788,                0.61066,                 1.0624,                0.83569,                 1.4692,             0.00020531,             0.00020531,             0.00020531
                     12,                 0.9423,                 0.8276,                 1.3988,                0.81217,                0.85054,                0.86642,                0.62575,                 1.0191,                0.81324,                 1.4425,             0.00020024,             0.00020024,             0.00020024
                     13,                0.92202,                0.78449,                 1.3772,                0.80724,                0.84686,                0.87891,                0.63724,                 1.0186,                0.77732,                 1.4299,             0.00019517,             0.00019517,             0.00019517
                     14,                0.90946,                 0.7424,                 1.3673,                0.85032,                0.85524,                0.89761,                0.64939,                 1.0147,                0.70651,                 1.4278,             0.00019011,             0.00019011,             0.00019011
                     15,                0.90127,                0.72477,                 1.3601,                0.83846,                 0.8626,                0.88958,                0.64613,                 1.0151,                0.72114,                 1.4273,             0.00018504,             0.00018504,             0.00018504
                     16,                0.88776,                0.70749,                 1.3511,                0.81619,                0.87503,                0.87359,                0.64082,                 1.0108,                0.74203,                  1.429,             0.00017997,             0.00017997,             0.00017997
                     17,                0.87125,                0.67736,                 1.3386,                0.84585,                0.87917,                0.88627,                0.65486,                0.98394,                0.68296,                 1.3995,              0.0001749,              0.0001749,              0.0001749
                     18,                   0.86,                 0.6592,                  1.325,                0.86558,                0.86292,                0.89251,                0.66054,                0.98896,                0.67872,                 1.4078,             0.00016983,             0.00016983,             0.00016983
                     19,                0.84853,                0.64173,                 1.3071,                0.85412,                0.88268,                0.89961,                 0.6622,                0.99062,                0.66727,                 1.3986,             0.00016476,             0.00016476,             0.00016476
                     20,                0.84096,                0.62424,                 1.3057,                0.84883,                0.88162,                0.90611,                0.67372,                0.98187,                0.65394,                 1.3931,             0.00015969,             0.00015969,             0.00015969
                     21,                0.83101,                0.60436,                 1.2943,                0.86212,                0.88119,                0.90655,                0.66814,                0.98497,                0.64554,                  1.391,             0.00015462,             0.00015462,             0.00015462
                     22,                0.82482,                0.59014,                 1.2907,                0.84374,                0.90414,                0.91121,                0.67993,                 0.9703,                0.64015,                 1.3818,             0.00014956,             0.00014956,             0.00014956
                     23,                0.80902,                0.57881,                 1.2734,                0.86219,                0.87841,                0.90701,                0.67083,                0.98074,                0.63099,                 1.3834,             0.00014449,             0.00014449,             0.00014449
                     24,                0.80602,                0.56321,                 1.2644,                0.86082,                0.88601,                0.90098,                0.67117,                0.97132,                0.64964,                 1.3831,             0.00013942,             0.00013942,             0.00013942
                     25,                0.79764,                 0.5537,                 1.2664,                0.86554,                0.87523,                0.90262,                0.66872,                0.98359,                 0.6342,                 1.3973,             0.00013435,             0.00013435,             0.00013435
                     26,                 0.7834,                0.53967,                 1.2495,                0.84642,                0.89038,                0.90249,                0.67602,                0.96635,                0.62722,                 1.3708,             0.00012928,             0.00012928,             0.00012928
                     27,                0.77318,                0.52231,                 1.2427,                0.84968,                0.90042,                0.91447,                0.68568,                0.97776,                0.61418,                 1.3764,             0.00012421,             0.00012421,             0.00012421
                     28,                0.76731,                0.51249,                  1.242,                0.86355,                 0.8966,                0.90963,                0.67605,                0.97101,                0.61747,                 1.3807,             0.00011914,             0.00011914,             0.00011914
                     29,                0.75227,                0.50529,                 1.2336,                0.86333,                0.88408,                0.91578,                0.68485,                0.97463,                0.60308,                 1.3769,             0.00011407,             0.00011407,             0.00011407
                     30,                0.74876,                0.49296,                 1.2172,                0.86067,                 0.9028,                0.91222,                0.67808,                0.96895,                0.61215,                 1.3768,               0.000109,               0.000109,               0.000109
                     31,                0.73806,                0.48552,                 1.2135,                0.87358,                0.88696,                0.90684,                0.68055,                0.96268,                0.60277,                 1.3688,             0.00010394,             0.00010394,             0.00010394
                     32,                0.72795,                0.47797,                 1.2036,                 0.8716,                0.89177,                0.90898,                0.67801,                0.96531,                0.60406,                 1.3738,             9.8867e-05,             9.8867e-05,             9.8867e-05
